iter	MAE	RMSE
0	8.047694372	11.10981405
1	7.992314076	11.03300216
2	7.931565375	10.9466594
3	7.870299742	10.86154989
4	7.814561762	10.78644252
5	7.763446204	10.71336823
6	7.710047519	10.63599626
7	7.661597843	10.5654891
8	7.613246592	10.49208466
9	7.57678946	10.43887474
10	7.541567374	10.38809369
11	7.499954371	10.32898284
12	7.45498215	10.26567754
13	7.417639462	10.20923412
14	7.380041731	10.15333072
15	7.337532374	10.09075333
16	7.301641096	10.03664685
17	7.266465981	9.982880297
18	7.235308867	9.93558473
19	7.208664728	9.895425094
20	7.17891977	9.847727863
21	7.144338871	9.796213927
22	7.108257059	9.740892707
23	7.086244507	9.709477869
24	7.054207044	9.663154645
25	7.025302921	9.618425263
26	6.996817792	9.572767511
27	6.976065675	9.542241159
28	6.948675801	9.500785792
29	6.936311829	9.476305106
30	6.909719276	9.435331128
31	6.886268019	9.397532905
32	6.860952668	9.356734979
33	6.844898838	9.330089175
34	6.822974467	9.296331919
35	6.801697456	9.262893299
36	6.790009824	9.241004976
37	6.770272416	9.208716185
38	6.752336399	9.17681517
39	6.738200703	9.152159324
40	6.717631457	9.119529381
41	6.697329323	9.087840496
42	6.677864644	9.054436793
43	6.66509517	9.030394344
44	6.650506548	9.005232301
45	6.642380914	8.988665168
46	6.628812164	8.965172749
47	6.611514577	8.940861568
48	6.592503572	8.914750501
49	6.57771181	8.890949233
50	6.568241336	8.87207214
51	6.558779945	8.85377768
52	6.543087459	8.829959276
53	6.534583841	8.813359528
54	6.514199603	8.783815174
55	6.496448971	8.75868192
56	6.480329936	8.734103926
57	6.46197614	8.708684345
58	6.450092975	8.690868034
59	6.437135634	8.669192669
60	6.427756682	8.652143181
61	6.415773166	8.6315109
62	6.400460251	8.610237423
63	6.393421657	8.596551822
64	6.381547886	8.575978248
65	6.377302856	8.567322914
66	6.366164424	8.549136759
67	6.353186955	8.529767972
68	6.347204383	8.518818913
69	6.33780463	8.504013975
70	6.324688667	8.483820975
71	6.313603775	8.468959627
72	6.311078138	8.462074003
73	6.306430342	8.45351562
74	6.295827029	8.436015071
75	6.291153555	8.427751192
76	6.279843736	8.411645351
77	6.272448462	8.397513294
78	6.263724457	8.384465785
79	6.257840686	8.374165398
80	6.245876801	8.357905055
81	6.231753397	8.336667774
82	6.220540191	8.32221957
83	6.210934849	8.307350395
84	6.20175518	8.294289764
85	6.192950889	8.281143686
86	6.18430418	8.269190515
87	6.179711987	8.259427502
88	6.170763775	8.245548087
89	6.160777515	8.231049758
90	6.15144937	8.215796445
91	6.147841139	8.208269087
92	6.136272064	8.191198522
