iter	Passed	Remaining
0	10	5035
1	18	4666
2	27	4564
3	36	4470
4	44	4407
5	52	4356
6	61	4320
7	69	4273
8	77	4252
9	86	4238
10	95	4228
11	103	4210
12	111	4182
13	120	4166
14	127	4137
15	136	4119
16	144	4109
17	153	4103
18	161	4093
19	170	4081
20	179	4083
21	190	4145
22	199	4141
23	209	4164
24	219	4167
25	228	4172
26	239	4188
27	247	4173
28	257	4189
29	266	4177
30	276	4179
31	286	4191
32	295	4177
33	305	4189
34	314	4173
35	323	4173
36	332	4165
37	342	4158
38	351	4156
39	360	4144
40	370	4153
41	379	4137
42	389	4139
43	398	4125
44	407	4124
45	417	4120
46	427	4120
47	436	4113
48	446	4109
49	456	4111
50	465	4097
51	476	4101
52	484	4087
53	495	4090
54	504	4081
55	513	4067
56	521	4052
57	531	4053
58	540	4037
59	550	4038
60	558	4022
61	568	4019
62	579	4017
63	587	4001
64	597	4000
65	605	3984
66	614	3972
67	622	3957
68	632	3949
69	640	3936
70	649	3926
71	658	3911
72	667	3902
73	675	3891
74	684	3878
75	692	3863
76	700	3847
77	708	3835
78	717	3824
79	725	3809
80	733	3796
81	742	3782
82	750	3771
83	759	3758
84	767	3748
85	776	3736
86	785	3729
87	793	3716
88	803	3708
89	811	3698
90	820	3687
91	828	3674
92	836	3662
93	845	3651
94	853	3637
95	862	3627
96	870	3617
97	878	3605
98	887	3595
99	895	3583
100	904	3574
101	913	3562
102	921	3551
103	929	3540
104	938	3530
105	946	3519
106	956	3512
107	965	3504
108	974	3493
109	983	3486
110	991	3476
111	1000	3465
112	1008	3453
113	1016	3442
114	1025	3432
115	1033	3421
116	1042	3411
117	1050	3400
118	1059	3390
119	1067	3380
120	1076	3370
121	1084	3361
122	1093	3351
123	1101	3341
124	1110	3330
125	1119	3322
126	1127	3312
127	1136	3302
128	1144	3291
129	1156	3292
130	1165	3282
131	1175	3278
132	1184	3267
133	1194	3262
134	1203	3252
135	1212	3246
136	1222	3238
137	1231	3229
138	1241	3224
139	1250	3214
140	1260	3208
141	1269	3199
142	1278	3191
143	1288	3185
144	1297	3175
145	1307	3170
146	1316	3160
147	1326	3154
148	1335	3145
149	1344	3137
150	1355	3132
151	1363	3121
152	1373	3115
153	1384	3110
154	1393	3101
155	1403	3095
156	1412	3085
157	1422	3079
158	1431	3069
159	1441	3062
160	1449	3052
161	1460	3046
162	1469	3038
163	1478	3029
164	1488	3021
165	1496	3011
166	1506	3003
167	1515	2995
168	1525	2988
169	1534	2979
170	1543	2968
171	1551	2959
172	1560	2950
173	1570	2943
174	1579	2933
175	1588	2923
176	1597	2914
177	1605	2904
178	1613	2894
179	1622	2883
180	1630	2873
181	1638	2863
182	1647	2854
183	1656	2844
184	1664	2834
185	1673	2824
186	1681	2814
187	1690	2804
188	1698	2795
189	1707	2785
190	1715	2775
191	1724	2765
192	1732	2755
193	1741	2746
194	1749	2736
195	1757	2726
196	1766	2716
197	1774	2706
198	1782	2696
199	1791	2686
200	1799	2677
201	1807	2667
202	1816	2657
203	1824	2647
204	1832	2637
205	1841	2628
206	1850	2618
207	1858	2609
208	1866	2599
209	1875	2589
210	1884	2580
211	1892	2570
212	1900	2561
213	1909	2551
214	1917	2541
215	1925	2531
216	1934	2522
217	1942	2513
218	1951	2503
219	1960	2494
220	1969	2486
221	1977	2476
222	1985	2466
223	1993	2456
224	2002	2447
225	2010	2437
226	2019	2428
227	2027	2419
228	2036	2409
229	2044	2400
230	2053	2390
231	2061	2381
232	2070	2372
233	2078	2362
234	2086	2353
235	2095	2343
236	2103	2334
237	2111	2324
238	2120	2315
239	2128	2305
240	2137	2296
241	2145	2287
242	2153	2277
243	2161	2268
244	2169	2258
245	2178	2249
246	2186	2239
247	2194	2230
248	2203	2221
249	2211	2211
250	2220	2202
251	2229	2193
252	2237	2184
253	2245	2175
254	2254	2166
255	2262	2156
256	2271	2147
257	2279	2137
258	2287	2128
259	2296	2119
260	2305	2110
261	2313	2101
262	2322	2092
263	2330	2083
264	2339	2074
265	2348	2066
266	2357	2057
267	2365	2047
268	2374	2038
269	2382	2029
270	2391	2020
271	2400	2011
272	2408	2002
273	2416	1993
274	2425	1984
275	2433	1975
276	2442	1966
277	2450	1956
278	2458	1947
279	2467	1938
280	2475	1929
281	2483	1920
282	2491	1910
283	2500	1901
284	2508	1892
285	2517	1883
286	2525	1874
287	2533	1865
288	2542	1856
289	2550	1846
290	2559	1838
291	2567	1828
292	2575	1819
293	2583	1810
294	2592	1801
295	2600	1792
296	2609	1783
297	2617	1774
298	2625	1765
299	2634	1756
300	2642	1747
301	2650	1737
302	2658	1728
303	2667	1719
304	2676	1710
305	2684	1701
306	2692	1692
307	2700	1683
308	2709	1674
309	2717	1665
310	2726	1656
311	2735	1648
312	2744	1639
313	2752	1630
314	2761	1622
315	2770	1613
316	2778	1604
317	2787	1595
318	2795	1586
319	2804	1577
320	2812	1568
321	2821	1559
322	2829	1550
323	2838	1541
324	2846	1532
325	2855	1523
326	2863	1514
327	2871	1505
328	2879	1496
329	2887	1487
330	2896	1478
331	2904	1469
332	2912	1460
333	2921	1452
334	2930	1443
335	2938	1434
336	2946	1425
337	2955	1416
338	2963	1407
339	2971	1398
340	2981	1390
341	2989	1381
342	2998	1372
343	3006	1363
344	3015	1354
345	3023	1345
346	3032	1336
347	3040	1327
348	3048	1318
349	3056	1310
350	3064	1301
351	3073	1292
352	3081	1283
353	3089	1274
354	3098	1265
355	3107	1256
356	3115	1248
357	3123	1239
358	3132	1230
359	3140	1221
360	3148	1212
361	3156	1203
362	3165	1194
363	3173	1185
364	3182	1177
365	3190	1168
366	3199	1159
367	3207	1150
368	3216	1141
369	3224	1132
370	3233	1124
371	3241	1115
372	3250	1106
373	3258	1097
374	3267	1089
375	3276	1080
376	3284	1071
377	3293	1063
378	3302	1054
379	3310	1045
380	3318	1036
381	3328	1028
382	3337	1019
383	3345	1010
384	3353	1001
385	3361	992
386	3370	984
387	3379	975
388	3387	966
389	3396	958
390	3405	949
391	3413	940
392	3422	931
393	3430	923
394	3439	914
395	3448	905
396	3456	896
397	3464	888
398	3473	879
399	3481	870
400	3490	861
401	3498	852
402	3507	844
403	3515	835
404	3524	826
405	3532	817
406	3541	809
407	3549	800
408	3557	791
409	3566	782
410	3575	774
411	3583	765
412	3591	756
413	3600	747
414	3608	739
415	3616	730
416	3625	721
417	3634	712
418	3642	704
419	3650	695
420	3658	686
421	3667	677
422	3676	669
423	3684	660
424	3693	651
425	3702	643
426	3710	634
427	3719	625
428	3727	616
429	3736	608
430	3744	599
431	3752	590
432	3761	581
433	3770	573
434	3780	564
435	3790	556
436	3799	547
437	3807	539
438	3816	530
439	3824	521
440	3833	512
441	3841	504
442	3849	495
443	3857	486
444	3866	477
445	3874	469
446	3883	460
447	3892	451
448	3900	443
449	3908	434
450	3917	425
451	3926	416
452	3934	408
453	3942	399
454	3951	390
455	3961	382
456	3978	374
457	3990	365
458	4001	357
459	4013	349
460	4024	340
461	4038	332
462	4049	323
463	4060	315
464	4071	306
465	4081	297
466	4092	289
467	4101	280
468	4111	271
469	4120	262
470	4129	254
471	4139	245
472	4149	236
473	4159	228
474	4168	219
475	4178	210
476	4188	201
477	4198	193
478	4208	184
479	4217	175
480	4227	167
481	4237	158
482	4246	149
483	4256	140
484	4265	131
485	4276	123
486	4285	114
487	4294	105
488	4306	96
489	4315	88
490	4324	79
491	4333	70
492	4346	61
493	4358	52
494	4370	44
495	4379	35
496	4388	26
497	4398	17
498	4409	8
499	4419	0
